Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.00    0.00  980000/8500000     qbnn_ [67]
                0.01    0.00 3760000/8500000     qsynchro_ [34]
                0.01    0.00 3760000/8500000     qplasma_ [39]
[57]     0.1    0.02    0.00 8500000         kfermi_ [57]
-----------------------------------------------
                0.02    0.00 3850000/3850000     en_cond_ [32]
[58]     0.1    0.02    0.00 3850000         rfun_ [58]
-----------------------------------------------
                0.02    0.00 3780000/3780000     tensor_ [6]
[59]     0.1    0.02    0.00 3780000         shear_ [59]
-----------------------------------------------
                0.02    0.00 1797214/1797214     qmurca_ [40]
[60]     0.1    0.02    0.00 1797214         rrmp_pa_ [60]
-----------------------------------------------
                0.01    0.00  397566/1524592     ccvfn_ [64]
                0.01    0.00 1127026/1524592     ccvfp_ [63]
[61]     0.1    0.02    0.00 1524592         rrcv_a_cru_ [61]
-----------------------------------------------
                0.02    0.00  623700/623700      chemfit7_ [44]
[62]     0.1    0.02    0.00  623700         ferinv7_ [62]
-----------------------------------------------
                0.00    0.02 1237500/1237500     cvf_ [23]
[63]     0.0    0.00    0.02 1237500         ccvfp_ [63]
                0.01    0.00 1127026/1524592     rrcv_a_cru_ [61]
                0.00    0.00 1127026/17104954     v1_ [56]
-----------------------------------------------
                0.01    0.01 1861200/1861200     cvf_ [23]
[64]     0.0    0.01    0.01 1861200         ccvfn_ [64]
                0.01    0.00  397566/1524592     rrcv_a_cru_ [61]
                0.00    0.00  397566/17104954     v1_ [56]
                0.00    0.00  246021/4061141     v2_ [90]
                0.00    0.00  246021/246021      rrcv_b_ [104]
-----------------------------------------------
                0.01    0.00 3760000/3760000     q3_ [22]
[65]     0.0    0.01    0.00 3760000         qbnp_ [65]
                0.00    0.00 2294238/17104954     v1_ [56]
                0.00    0.00  497024/497024      rrnp_ba_ [87]
                0.00    0.00 1797214/2294238     rrnp_pa_ [95]
                0.00    0.00  497024/4061141     v2_ [90]
-----------------------------------------------
                0.01    0.00 3760000/3760000     q3_ [22]
[66]     0.0    0.01    0.00 3760000         qcpbf_cr_ [66]
                0.00    0.00  803286/3080124     ffa_ [70]
                0.00    0.00  803286/17104954     v1_ [56]
-----------------------------------------------
                0.01    0.00 3760000/3760000     q3_ [22]
